,name,medal_type,count
141,BATUM Nicolas,Silver Medal,1
142,BAVUUDORJ Baasankhuu,Silver Medal,1
143,BEAUGRAND Cassandre,Gold Medal,1
144,BEDNAREK Kenneth,Silver Medal,1
145,BEKAURI Lasha,Gold Medal,1
146,BELENIUK Zhan,Bronze Medal,1
147,BELL Georgia,Bronze Medal,1
148,BELLANDI Alice,Gold Medal,1
149,BEN SEGHIR Eliesse,Bronze Medal,1
150,BENEGAS Perris,Silver Medal,1
151,BENJAMIN Rai,Gold Medal,2
152,BENNAMA Billal,Silver Medal,1
153,BENUS Matej,Bronze Medal,1
154,BERAN Jiri,Bronze Medal,1
155,BERES Amalia,Gold Medal,1
156,BERGER Ann-Katrin,Bronze Medal,1
157,BERGERE Leo,Bronze Medal,1
158,BERGMANN Julia Isabelle,Bronze Medal,1
159,BERKOFF Katharine,Bronze Medal,1
160,BERKOFF Katharine,Gold Medal,1
161,BERMUDEZ Fancy,Silver Medal,1
162,BERNABE Adrian,Gold Medal,1
163,BERNIES Romane,Silver Medal,1
164,BEST Justin,Gold Medal,1
165,BETHUNE Croix,Gold Medal,1
166,BETLEHEM David,Bronze Medal,1
167,BHAKER Manu,Bronze Medal,2
168,BIANCHI Guillaume,Silver Medal,1
169,BIENIEK Mateusz,Silver Medal,1
170,BIGHAM Daniel,Silver Medal,1
171,BIJAC Marko,Silver Medal,1
172,BIJEN Koen,Gold Medal,1
173,BILES Simone,Gold Medal,3
174,BILES Simone,Silver Medal,1
175,BILJAKA Matias,Silver Medal,1
176,BIRD Kieran,Gold Medal,1
177,BISKUP Mateusz,Bronze Medal,1
178,BISULTANOV Turpal Ali,Bronze Medal,1
179,BLAAK Pirmin,Gold Medal,1
180,BLADES Kennedy Alexis,Silver Medal,1
181,BLAKE Jerome,Gold Medal,1
182,BLEDDYN Oliver,Gold Medal,1
183,BLOK Justen,Gold Medal,1
184,BLYDE Michaela,Gold Medal,1
185,BOBECK Vilma,Silver Medal,1
186,BODNAR Ancuta,Gold Medal,1
187,BODNAR Ancuta,Silver Medal,1
188,BOGDANOVIC Bogdan,Bronze Medal,1
189,BOL Femke,Bronze Medal,1
190,BOL Femke,Gold Medal,1
191,BOL Femke,Silver Medal,1
192,BOLADZ Bartlomiej,Silver Medal,1
193,BOLDING Morgan,Gold Medal,1
194,BOLTAEV Davlat,Bronze Medal,1
195,BONFIM Caio,Silver Medal,1
196,BONTUS Valentin,Gold Medal,1
197,BOOKER Devin,Gold Medal,1
198,BOONSTRA Benthe,Gold Medal,1
199,BOOTH Esme,Silver Medal,1
200,BOREL Yannick,Silver Medal,1
201,BORLASE Isobel,Bronze Medal,1
202,BOSCO Eugenia,Silver Medal,1
203,BOSETTI Caterina Chiara,Gold Medal,1
204,BOTHA Bryony,Silver Medal,1
205,BOTIN le CHEVER Diego,Gold Medal,1
206,BOUCHOUARI Benjamin,Bronze Medal,1
207,BOUKAMIR Mehdi,Bronze Medal,1
208,BOUKLI Shirine,Bronze Medal,1
209,BOUKLI Shirine,Gold Medal,1
210,BOUKTIT Sarah,Silver Medal,1
211,BOUWMEESTER Marit,Gold Medal,1
212,BOWEN Alex,Bronze Medal,1
213,BRAGA GUIMARAES Gabriela,Bronze Medal,1
214,BRAND Jule,Bronze Medal,1
215,BRASH Scott,Gold Medal,1
216,BRATTSET DALE Kari,Gold Medal,1
217,BRAYSHAW Georgina,Gold Medal,1
218,BREISTOEL Kristine,Gold Medal,1
219,BRETT Olivia,Gold Medal,1
220,BRIGHTMORE Harry,Gold Medal,1
221,BRINKMAN Thierry,Gold Medal,1
222,BRIZARD Antoine,Gold Medal,1
223,BROADBELL Rasheed,Bronze Medal,1
224,BROENINK Stef,Silver Medal,1
225,BROL CARDENAS Jean Pierre,Bronze Medal,1
226,BROOKS Aaron Marquel,Bronze Medal,1
227,BROWN Aaron,Gold Medal,1
228,BROWN Brittany,Bronze Medal,1
229,BROWN Grace,Gold Medal,1
230,BROWN Kaylyn,Gold Medal,1
231,BROWN Kaylyn,Silver Medal,1
232,BROWN Ronald,Bronze Medal,1
233,BROWN Sky,Bronze Medal,1
234,BRUESSLER Sarah,Silver Medal,1
235,BRUNCKHORST Svenja,Gold Medal,1
236,BRUNNER Nina,Bronze Medal,1
237,BUCHARD Amandine,Bronze Medal,1
238,BUCHARD Amandine,Gold Medal,1
239,BUCSA Cristina,Bronze Medal,1
240,BUEHL Klara,Bronze Medal,1
241,BUIS Sarah,Bronze Medal,1
242,BUKIC Luka,Silver Medal,1
243,BULLEN Grace Jacob,Bronze Medal,1
244,BURDICK Cierra,Bronze Medal,1
245,BURG Joosje,Gold Medal,1
246,BURGESS Adam,Silver Medal,1
247,BURGHARDT Alexandra,Bronze Medal,1
248,BURIC Rino,Silver Medal,1
249,BURTON Christopher,Silver Medal,1
250,BUTCHER Finn,Gold Medal,1
251,BUTKEREIT Miriam,Silver Medal,1
252,BUTLER Aaliyah,Gold Medal,1
253,BYLON Atheyna Bibeichi,Silver Medal,1
254,CAIRO Sofia,Bronze Medal,1
255,CAKIROGLU Buse Naz,Silver Medal,1
256,CAMACHO-QUINN Jasmine,Bronze Medal,1
257,CAMBEI Mihaela Valentina,Silver Medal,1
258,CAMBI Carlotta,Gold Medal,1
259,CAMELLO Sergio,Gold Medal,1
260,CAMILION Juana,Silver Medal,1
261,CAMPBELL Bronte,Gold Medal,1
262,CAMPBELL Emily,Bronze Medal,1
263,CAMPBELL Rajindra,Bronze Medal,1
264,CAMPBELL-ORDE Annie,Bronze Medal,1
265,CAMPOY Maria,Bronze Medal,1
266,CAMUS Paula,Gold Medal,1
267,CANDASSAMY Marie-Florence,Silver Medal,1
268,CANETT Kayla,Bronze Medal,1
269,CANTER Rosalind,Gold Medal,1
270,CAO Liguo,Silver Medal,1
271,CAO Yuan,Gold Medal,1
272,CAPEWELL Sophie,Gold Medal,1
273,CAREY Jade,Bronze Medal,1
274,CAREY Jade,Gold Medal,1
275,CARGNIN Daniel,Bronze Medal,1
276,CARLE Timothee,Gold Medal,1
277,CARLIN Jack,Bronze Medal,1
278,CARLIN Jack,Silver Medal,1
279,CARLINI Lauren,Silver Medal,1
280,CARLSON Chris,Bronze Medal,1
281,CARNEGIE Sholto,Gold Medal,1
282,CARRINGTON Lisa,Gold Medal,3
283,CARTWRIGHT Jack,Silver Medal,1
284,CASADEI Gabriele,Silver Medal,1
285,CASADO Agustin,Bronze Medal,1
286,CASAS Lara,Bronze Medal,1
287,CASTELLARO MORELLO Juana,Bronze Medal,1
288,CASTRYCK Titouan,Silver Medal,1
289,CAVUSOGLU TOSUN Buse,Bronze Medal,1
290,CECCON Thomas,Bronze Medal,1
291,CECCON Thomas,Gold Medal,1
292,CELAYA HERNANDEZ Juan Manuel,Silver Medal,1
293,CENTOFANTI Martina,Bronze Medal,1
294,CHAARI Sarah,Bronze Medal,1
295,CHALMERS Kyle,Bronze Medal,1
296,CHALMERS Kyle,Silver Medal,2
297,CHANG Hao,Gold Medal,1
298,CHANG Yani,Bronze Medal,1
299,CHANG Yani,Gold Medal,1
300,CHANG Yuan,Gold Medal,1
301,CHARLES Harry,Gold Medal,1
302,CHARRON Maude,Silver Medal,1
303,CHASTANET Maximilien,Bronze Medal,1
304,CHATAIN Peter,Bronze Medal,1
305,CHEBET Beatrice,Gold Medal,2
306,CHEMUTAI Peruth,Silver Medal,1
307,CHEN Meng,Gold Medal,2
308,CHEN Nien Chin,Bronze Medal,1
309,CHEN Qing Chen,Gold Medal,1
310,CHEN Yang,Silver Medal,1
311,CHEN Yi,Silver Medal,1
312,CHEN Yiwen,Gold Medal,2
313,CHEN Yuxi,Gold Medal,1
314,CHEN Yuxi,Silver Medal,1
315,CHENG Wentao,Gold Medal,1
316,CHENG Yujie,Bronze Medal,1
317,CHEPTEGEI Joshua,Gold Medal,1
318,CHERKI Rayan,Silver Medal,1
319,CHEROTICH Faith,Bronze Medal,1
320,CHERY Alexia,Silver Medal,1
321,CHEUNG Ka Long,Gold Medal,1
322,CHIA Aaron,Bronze Medal,1
323,CHILES Jordan,Gold Medal,1
324,CHINENYEZE Barthelemy,Gold Medal,1
325,CHIRAULT Thomas,Silver Medal,1
326,CHIUMENTO Luca,Silver Medal,1
327,CHO Yeongjae,Silver Medal,1
328,CHOE Hyo Gyong,Bronze Medal,1
329,CHOI Sebin,Silver Medal,1
330,CHOPRA Neeraj,Silver Medal,1
331,CHOTARD Joris,Silver Medal,1
332,CHRISTENSON Micah,Bronze Medal,1
333,CHRISTOU Apostolos,Silver Medal,1
334,CIRILO DUBOYS Yarisleidis,Bronze Medal,1
335,CISSE Cheick Sallah,Bronze Medal,1
336,CLAESSENS Zoe,Bronze Medal,1
337,CLARKE Joseph,Silver Medal,1
338,CLEVENOT Trevor,Gold Medal,1
339,CLEVERING Ymkje,Gold Medal,1
340,CLOUVEL Elodie,Silver Medal,1
341,COCKRELL Anna,Silver Medal,1
342,COFFEY Samantha,Gold Medal,1
343,COLLETT Laura,Bronze Medal,1
344,COLLETT Laura,Gold Medal,1
345,COLLIER Napheesa,Gold Medal,1
346,COLLINS Jackson,Silver Medal,1
347,CONNOLLY Erika,Silver Medal,1
348,CONSONNI Chiara,Gold Medal,1
349,CONSONNI Simone,Bronze Medal,1
350,CONSONNI Simone,Silver Medal,1
351,CONTE BONIN Paolo,Bronze Medal,1
352,COOK Karl,Silver Medal,1
353,COOK Kassidy,Silver Medal,1
354,COOPER Marcus,Bronze Medal,1
355,COPPER Kahleah,Gold Medal,1
356,CORBEAU Caspar,Bronze Medal,1
357,CORDINIER Isaia,Silver Medal,1
358,CORNEA Andrei Sebastian,Gold Medal,1
359,CORNISH Thomas,Bronze Medal,1
360,CORRALES Rodrigo,Bronze Medal,1
361,CORRIGAN Alysha,Silver Medal,1
362,CORRIGAN Liam,Gold Medal,1
363,COSENTINO Cristina,Bronze Medal,1
364,COULIBALY Bilal,Silver Medal,1
365,COWLEY Rhydian,Bronze Medal,1
366,COZMIUC Ionela Livia,Silver Medal,1
367,CRAIG Emily,Gold Medal,1
368,CRAVIOTTO Saul,Bronze Medal,1
369,CRESPI BARRIGA Paula,Gold Medal,1
370,CROON Jorrit Jan Willem,Gold Medal,1
371,CROSSLEY Caroline,Silver Medal,1
372,CROUSER Ryan,Gold Medal,1
373,CROVETTO CHADID Francisca,Gold Medal,1
374,CSIPES Tamara,Bronze Medal,1
375,CSIPES Tamara,Silver Medal,2
376,CUBARSI Pau,Gold Medal,1
377,CUK Milos,Gold Medal,1
378,CUMMINS Olivia,Gold Medal,1
379,CUNNINGHAM Caden,Silver Medal,1
380,CUPIDO Luca,Bronze Medal,1
381,CUPR Michal,Bronze Medal,1
382,CURRY Brooks,Silver Medal,1
383,CURRY Stephen,Gold Medal,1
384,CYSIQUE Sarah Leonie,Bronze Medal,1
385,CYSIQUE Sarah Leonie,Gold Medal,1
386,CZAJA Dominik,Bronze Medal,1
387,CZARKOWSKI Jaime,Silver Medal,1
388,D'AMATO Alice,Gold Medal,1
389,D'AMATO Alice,Silver Medal,1
390,DABROWSKI Gabriela,Bronze Medal,1
391,DAHER de MENEZES Thaisa,Bronze Medal,1
392,DAHLBERG Anton,Bronze Medal,1
393,DAHMKE Rune,Silver Medal,1
394,DAJOMES BARRERA Neisi Patricia,Bronze Medal,1
395,DAKE Kyle Douglas,Bronze Medal,1
396,DALEY Thomas,Silver Medal,1
397,DAN Wen,Silver Medal,1
398,DANESI Anna,Gold Medal,1
399,DANIELS Chloe,Silver Medal,1
400,DANNEBERG Jean-Paul,Silver Medal,1
401,DANY DANN,Silver Medal,1
402,DARLEUX MINGAM Cleopatre,Silver Medal,1
403,DAUBE Hannes,Bronze Medal,1
404,DAUDET Joris,Gold Medal,1
405,DAVEY Lewis,Bronze Medal,2
406,DAVIDOVAC Dejan,Bronze Medal,1
407,DAVIDS Selvyn,Bronze Medal,1
408,DAVIDS Zain,Bronze Medal,1
409,DAVIDSON Freddie,Bronze Medal,1
410,DAVIDSON Tierna,Gold Medal,1
411,DAVIS Anthony,Gold Medal,1
